Date	Canada	US
Jan/06	6.60%	4.70%
Feb/06	6.40%	4.80%
Mar/06	6.30%	4.70%
Apr/06	6.30%	4.70%
May/06	6.00%	4.60%
Jun/06	6.10%	4.60%
Jul/06	6.30%	4.70%
Aug/06	6.40%	4.70%
Sep/06	6.40%	4.50%
Oct/06	6.20%	4.40%
Nov/06	6.30%	4.50%
Dec/06	6.10%	4.40%
Jan/07	6.20%	4.60%
Feb/07	6.20%	4.50%
Mar/07	6.10%	4.40%
Apr/07	6.10%	4.50%
May/07	6.00%	4.40%
Jun/07	6.00%	4.60%
Jul/07	6.10%	4.70%
Aug/07	6.00%	4.60%
Sep/07	5.90%	4.70%
Oct/07	5.90%	4.70%
Nov/07	6.00%	4.70%
Dec/07	6.00%	5.00%
Jan/08	5.90%	5.00%
Feb/08	5.90%	4.80%
Mar/08	6.00%	5.10%
Apr/08	6.10%	4.90%
May/08	6.10%	5.40%
Jun/08	6.00%	5.60%
Jul/08	6.10%	5.80%
Aug/08	6.10%	6.10%
Sep/08	6.20%	6.20%
Oct/08	6.20%	6.60%
Nov/08	6.50%	6.80%
Dec/08	6.80%	7.30%
Jan/09	7.30%	7.80%
Feb/09	8.00%	8.20%
Mar/09	8.10%	8.60%
Apr/09	8.10%	8.90%
May/09	8.50%	9.40%
Jun/09	8.60%	9.50%
Jul/09	8.60%	9.50%
Aug/09	8.70%	9.70%
Sep/09	8.30%	9.80%
Oct/09	8.40%	10.10%
Nov/09	8.40%	9.90%
Dec/09	8.40%	9.90%
Jan/10	8.30%	9.70%
Feb/10	8.20%	9.70%
Mar/10	8.20%	9.70%
Apr/10	8.10%	9.80%
May/10	8.10%	9.60%
Jun/10	7.90%	9.50%
Jul/10	8.00%	9.50%
Aug/10	8.10%	9.60%
Sep/10	8.00%	9.60%
Oct/10	7.90%	9.70%
Nov/10	7.60%	9.80%
Dec/10	7.60%	9.40%
Jan/11	7.80%	9.00%
Feb/11	7.80%	8.90%
Mar/11	7.70%	8.80%
Apr/11	7.60%	9.00%
May/11	7.40%	9.10%
Jun/11	7.40%	9.20%
Jul/11	7.20%	9.10%
Aug/11	7.30%	9.10%
Sep/11	7.10%	9.10%
Oct/11	7.30%	9.00%
Nov/11	7.40%	8.60%
Dec/11	7.50%	8.50%
Jan/12	7.60%	8.30%
Feb/12	7.40%	8.30%
Mar/12	7.20%	8.20%
Apr/12	7.30%	8.10%
May/12	7.30%	8.20%
Jun/12	7.20%	8.20%
Jul/12	7.30%	8.30%
Aug/12	7.30%	8.10%
Sep/12	7.40%	7.80%
Oct/12	7.40%	7.90%
Nov/12	7.20%	7.80%
Dec/12	7.10%	7.80%
Jan/13	7.00%	7.90%
Feb/13	7.00%	7.70%
Mar/13	7.20%	7.60%
Apr/13	7.20%	7.50%
May/13	7.10%	7.60%
Jun/13	7.10%	7.60%
Jul/13	7.20%	7.40%
Aug/13	7.10%	7.30%
Sep/13	6.90%	7.20%
